,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
864,xpwzITnRnsY,1,1,1,26.00890244,6,246,151,2,0,17,199,30.0,0.9157408831152817,326.0,179.0,51.0,0.0,13.0,22.0,16.0,0,1
865,qo4C346bBzg,1,1,1,15.73642857,3,42,33,1,0,4,142,42.0,0.951186196,661.0,255.0,77.0,0.0,41.0,87.0,70.0,0,0
866,9NkF6BPrxpA,1,1,1,14.656,1,10,10,1,0,2,75,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,25.890566037735848,17.417924528301885,0,1
867,tMda6xUG7x0,1,1,1,13.42333333,1,9,9,1,0,1,171,8.0,0.967278103,108.0,61.0,17.0,0.0,7.0,20.0,28.0,1,1
868,qk-wXGltml4,1,1,1,14.34388805,23,574,335,8,0,74,274,3.0,0.946816558,40.0,32.0,7.0,0.0,2.0,54.0,21.0,1,1
869,ZgM0t_tymm8,1,1,1,83.75264516,1,155,107,3,0,8,207,34.0,0.83960253,323.0,154.0,41.0,0.0,17.0,6.0,5.0,0,1
870,iQlQrrdCb8Q,1,1,1,13.93421053,5,76,67,2,0,8,147,13.0,0.9157408831152817,124.0,78.0,28.0,0.0,5.0,18.0,17.0,1,1
871,v9zPQhOban0,1,1,1,33.533,1,60,46,2,0,6,104,33.0,0.9157408831152817,481.0,200.0,82.0,0.0,23.0,40.0,4.0,1,1
872,eaT7dD7yH2U,1,1,1,14.12591837,7,147,105,2,0,12,112,33.0,0.955978245,574.0,192.0,72.0,0.0,26.0,6.0,14.0,1,1
873,AHrwJVzlPXY,1,1,1,13.08181818,2,33,31,2,0,6,154,24.0,0.9157408831152817,539.0,204.0,58.0,0.0,19.0,11.0,8.0,1,1
874,jvg8EmtWF78,1,1,1,13.81472727,2,55,43,1,0,8,127,19.0,0.83670032,207.0,131.0,23.0,0.0,8.0,26.0,8.0,1,0
875,3de-0kM_Jio,1,1,0,18.71348485,3,88,70,4,0,11,165,43.0,0.9157408831152817,854.0,280.0,178.0,0.0,69.0,43.0,7.0,1,0
876,mfbu8Hjpftc,1,1,1,11.98768393,19,382,233,6,0,63,353,65.0,0.97449106,1153.0,364.0,213.0,0.0,72.0,77.0,60.0,1,1
877,yZ4PYgjCwZI,1,1,1,3.979130435,2,23,18,1,0,3,263,14.0,0.96808973,184.0,121.0,31.0,0.0,10.0,18.0,10.0,0,1
878,txtSY00UdZ4,1,1,1,4.388695652,2,23,23,2,0,3,155,4.0,0.893877864,60.0,47.0,7.0,0.0,3.0,1.0,1.0,1,1
879,zntOR3hTmkY,1,0,0,0.0,0,0,0,0,0,0,112,74.0,0.9157408831152817,1156.0,339.0,219.0,0.0,66.0,34.0,5.0,0,1
